book,chapter,verse,chokri,english,source
SUPP,0.0,0.0,sɨ nâ tī ʃɨ n̥ pū lɨ rə dà â nō vô sɨ bô kə nâ sɨ,Therefore the dog became angry and went to shake the tree.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,tī ʃī nê nō sɨ bô kə nâ kə sɨ tʃê mə khɨ qhô kà tû tsɨ tʃē dzɨ lɨ kɨ tâ,When the doggy shook the tree the bee's nest fell down to the ground.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū sə bô mə lê kū û nō hù tī lī tʃɨ sɨ hmɨ kə zô ō nō tʃê lɨ bâ mē mò lâ,The orphan climbed a tree and called to the owl Big-eyed one are you in your house?,Bielenberg_Nienu_2001
SUPP,0.0,0.0,hù tī lī n̥ pū lɨ rə dà sɨ ɨ nō pfɨ pà mə rə nū kə hrê sɨ,The owl boiled inside and flew out startling the orphan.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,n̥ā tʃɨ khā kə tsɨ sâ ɨ n̥ zɨ̄ χâ phá vá tò hō,If you ever again call me Big-eye like that I will scratch your face to shreds!,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ū kō ɨ lɨ rə dà sɨ tâ,During this same time the bees became very angry.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,tī ʃī nê tsɨ hū tē ū kō vô tə ʃɨ hū sɨ,Chase this dog! They went to chase the dog.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rẽ nū nō hù tī lī tʃê pô sɨ ā kə dzô vá sɨ tē ɨ n̥ zā kə mò pū sɨ n̥ tʃɨ sá hlò tē hō,The orphan said to the owl Owl forgive my fault I will never again call you by a name which is not yours.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,hù tī lī n̥ mə rẽ nū tʃê pô sɨ sɨ sɨ vé,Owl replied to the orphan That's okay.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rẽ nū kə tsɨ kə zô pù mə lê kū kə zɨ tʃê pū hò rẽ kə tâ nâ,Because he was very tired the orphan climbed a rock and was holding on to a branch.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ʃī zɨ̄ n̥ pū kə tsɨ pɨ lɨ thà â nō thə yô tʃɨ lâ sɨ,And in that way he stood on top of the rock and called again for Frog.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rẽ nū nō sɨ tsô mū n̥ú kə bâ ō tsɨ thə zê kà kə tsɨ sé bâ mò,The orphan did not realize that the branch he was leaning on was a deer antler.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pū thə yô tʃɨ kə sɨ tʃê thə zê hnâ dò lɨ zɨ kə bâ kə rê sɨ mû thɨ zê o nō pū kə rê kə sɨ tʃê hnâ dò lɨ thɨ pā á,As he called Frog the deer sleeping in the bush startled and when he leapt out he startled the orphan.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thə zê thɨ pà kə sɨ tʃê pū kà vô mə rə nū gù ù tâ,As the deer leapt out the orphan was hooked on his horn.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thɨ zê mə rə nū pfɨ ɨ mò zō l nō tâ rə zâ n̥ê lɨ kɨ tâ,Without hesitation the deer carried the orphan and ran down to the pond.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thə zê tâ kɨ rə zâ lɨ kɨ tsò kɨ mə rə nū kɨ thó pū sɨ rə zâ lɨ sɨ sɨ,When the deer had reached the lake he jolted the orphan into the lake.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,lâ vô ā mə sɨ lâ khā hɨ thə zê n̥ ʃê sɨ,Don't come hassle me ever again shouted the deer.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ɨ tɨ hù sâ mə rə nū lī tī ʃī nê pū nî thə yô yw û kə bâ sê,After some time the orphan and doggy heard a frog croaking.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū tī ʃɨ tʃê pô sɨ dzɨ kə phà hɨ tē,The orphan said to the dog Shh! Don't make any noise.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū lī tī ʃī nê pū nî ɨ rɨ lê mû mū nū sɨ ɨ nō thə yô yw û kə ba tsō pé sɨ,The orphan and the doggy slowly and carefully looked towards the frog's croaking.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pū nî thə yô pù mò lɨ thə yô kə nā zɨ kə sɨ,They met not one but two frogs.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ū kō kə sɨ ɨ nō ū nɨ sɨ kə bâ tî tʃê thə yô zû ū nō thə yô n̥ê kō tʃɨ sɨ mə rə nū lī tī ʃī nê zɨ kə sɨ tē,With their meeting they were very happy and the frog mother called the little frogs to come out and meet with the orphan and doggy.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thə yô n̥ê kə khrō tâ pà â nō tī ʃī nê lɨ mə rə nū pū nî zɨ kə sɨ,Many little frogs ran out and met with the doggy and orphan.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thə yô zû ū nō mə rə nū tʃê pô sɨ mə rə nū ɨ tʃê lɨ lâ vô hlò tē kə krê nâ mò lɨ ā nū n̥ê kō tə khrê bâ mò ō kə sɨ nâ lɨ vê ɨ vô o nō n̥ nɨ ā nū n̥ê pū khā n̥ tsɨ sɨ tò,The frog mother said to the orphan because I must care for my children I can never come to the house again but I will give you one of my children and all of you together will live in happiness.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨ sɨ sâ ū kō khɨ khò tâ,After that they separated.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thá dzɨ ao mɨ tʃê dzɨ lɨ rɨ lɨ mɨ kə nā kə mɨ zê sɨ ɨ n̥ hlɨ bâ yō ʃẽ kə krê nâ mò lɨ sɨ rá dzɨ rá hɨ n̥ī hī nō mə rẽ nō mɨ kə tsɨ nâ,Long ago in Ao country there were two young women living in much suffering because these two siblings were orphans.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pū nî zû sā kə tâ sâ ū pō n̥ thə nó kə sâ pù zɨ lâ i tâ,After their mother's death their father had received a new woman.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ū zû kə sâ ō nō rɨ lɨ n̥ī phɨ mō tsɨ rɨ kə tsɨ nâ pū u n̥ vô pū nū pù zɨ kə rə thɨ ɨ nō rɨ lɨ n̥ī hū vá,The new mother hated the two girls very much therefore she went and discussed with her husband about chasing them away.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,rɨ lɨ n̥ī kə tsá lɨ vô tâ,The two girls went to the forest.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,rɨ lɨ n̥ī kə tsá lɨ tɨ sɨ zô kə krô rū hù tâ rɨ ná kə tsɨ pù mó mû pū nî rə ná n̥ê sâ tsô tʃê n̥ê pù thɨ ɨ nō hlɨ sɨ dɨ tâ,After walking for many days in the woods the two young girls saw a small village and they built a house behind it and began to live there.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ nō tɨ tʃê mə tsɨ pū pū hlɨ thɨ kə dẽ vá a nō rɨ ná kō lɨ vô o nō thə mà kō dɨ pù bɨ ɨ n̥ hlɨ bâ sɨ pé sɨ sɨ jō,Each year God changed His appearance and went to the villages to see how people were living.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pù hnā pù kə mə nō pfɨ rɨ ná n̥ê lɨ khrā kə tɨ mɨ dò thɨ ɨ nō tʃê mō tî kō lɨ vô,One day God went to the little village pretending to be a beggar going into all the houses.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ nō tʃê lɨ mō tî kō kə tsò sɨ ā pô nō n̥ê kō tʃê lɨ lɨ vô rɨ lɨ ɨ vé mò lâ,God went to all the houses asking for my benefit will you let me in to rest?,Bielenberg_Nienu_2001
SUPP,0.0,0.0,hā kō vò ū nū mɨ nû bâ tē lē sɨ nâ nō m̄ pô hā tʃê lɨ lɨ,Our pig is giving birth just now therefore you cannot come in.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,hā vɨ kō kò bâ kə tâ nâ n̥ pô hā tʃê lɨ lɨ vô o sɨ tē hō,Our hens are hatching that's why it's not to your benefit to come inside right now!,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨ kə hmā â nō mɨ mɨ tî kō pū vā lâ vá,In a similar manner all the people repeatedly refused Him.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨ sâ kə mə nō pfɨ nō tà sɨ rɨ lɨ n̥ī tʃê lɨ vô tsō kɨ ɨ tʃê rɨ lɨ n̥ī kə tsò sɨ n̥ nɨ mə zâ rɨ ā pô tʃɨ zɨ n̥ī kō tʃê lɨ lɨ zɨ vé mē mò lâ,After this God walked to the two young ladies house and asked could I sleep in your house tonight?,Bielenberg_Nienu_2001
SUPP,0.0,0.0,rɨ lɨ n̥ī pū tʃê pô sɨ hā n̥ī hmā pù ɨ n̥ tsɨ kə tò bâ mò lē sɨ nâ n̥ pô hā tʃê lɨ lɨ vô kə tò mɨ n̥â lē,The young women said we have nothing to give because of this we would be ashamed to have you come into our house.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ pū nî tʃê pô sɨ n̥ pō tsâ a n̥ n̥ nɨ sɨ n̥ī kə bâ mō tɨ bâ sɨ nâ n̥ nɨ ɨ lɨ kə mɨ zê mò ɨ vé ɨ vô o nō n̥ nɨ zɨ hmā tɨ tò,God said use your grandfather to have all that you want so that you will no longer suffer I will come to eat with you.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ nō mē phû phɨ tʃê bâ a nō hmā tsho sɨ dɨ tâ,God sat near the fireplace and began to cook something.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ thə hlā sɨ pù pū pɨ pū pà a nō lê lɨ sɨ sɨ ʃī zɨ̄ ɨ nō khū tsɨ tshô ɨ,God took a grain of uncooked rice from his head and put it in the pot and cooked rice.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨ sâ pū phê χā sɨ nō hmā pù pū sɨ lê lɨ khā sɨ ɨ tɨ hù sâ thɨ vō thɨ tsho ɨ,Next he scratched his leg and put something into a pot and after some time pork was cooking.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,ū kō hmā tɨ tsō kɨ ɨ sâ vô tʃê thô tsō bâ vâ,After having finished eating they all went to the back of the house to sit.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ n̥ rɨ lɨ n̥ī kə tsò sɨ hɨ hɨ só pù zɨ lâ lɨ hɨ só pù zɨ lâ ʃī zɨ̄ ɨ n̥ zɨ mō tɨ kō kə tsò sɨ,God asked the young women whose field is this whose field is that and asked about all of the fields.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,nā tʃɨ pfɨ kə mə nō pfɨ tʃê pô sɨ zɨ hɨ hɨ ā dzɨ rá pfɨ hā n̥ī zā,The younger sister said to God this field belongs to us.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ nō sɨ sɨ sê kɨ ɨ tʃê ê dzô pū rə lɨ n̥ī tsɨ sɨ lɨ vê zɨ kə krê mō tî kō rɨ phɨ vá,When God heard this he gave a blessing to the young women but he cursed all the other fields.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,tɨ tʃê sɨ hnā rə lɨ n̥ī hmā kə tsâ pù ɨ zɨ ɨ n̥ mò lɨ vê zɨ kə krê mō tî kō kà tâ,That year the young women received many things but all the other fields perished.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,rə ná mɨ kō kə mə nō pfɨ kə tsɨ sê kɨ ɨ sâ ɨ lɨ sɨ phɨ tâ,After the villagers came to know that had been God their insides became very bad.,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kụ̀,to fall,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mɨgâ,white,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kɨ̀à,cry,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨkò,corn,Bielenberg_Nienu_2001
SUPP,0.0,0.0,dzɨ,water,Bielenberg_Nienu_2001
SUPP,0.0,0.0,tsɨ,small,Bielenberg_Nienu_2001
SUPP,0.0,0.0,muɨzá,thank you,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pɨ,head,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə khɨ,bee,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kəzɨ,river,Bielenberg_Nienu_2001
SUPP,0.0,0.0,sɨbô,tree,Bielenberg_Nienu_2001
SUPP,0.0,0.0,hɨhɨ,this,Bielenberg_Nienu_2001
SUPP,0.0,0.0,n̥êpfɨ,flower,Bielenberg_Nienu_2001
SUPP,0.0,0.0,pumŋû,five,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mɨnɨ,late,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə mə nō pfɨ,God,Bielenberg_Nienu_2001
SUPP,0.0,0.0,mə rə nū,orphan,Bielenberg_Nienu_2001
SUPP,0.0,0.0,tī ʃī nê,small dog,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thə yô,frog,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thɨ zê,deer,Bielenberg_Nienu_2001
SUPP,0.0,0.0,rə zâ,lake/pond,Bielenberg_Nienu_2001
SUPP,0.0,0.0,kə tsá,forest,Bielenberg_Nienu_2001
SUPP,0.0,0.0,thə hlā,rice,Bielenberg_Nienu_2001
,,,Avo tātʰɔ̀ tʰɔ̋-vá,Avo is making pickle.,Tetseo_Gope_2024_JJLL
,,,í n̩̄dɔ̄ n̄-ŋɔ̋,I saw you yesterday.,Tetseo_Gope_2024_JJLL
,,,hā-kɔ̄ tʰɛ̄və̀-dʒə̌ ʧɔ́ tì-sɘ̋-jɔ̄,We always eat eggs.,Tetseo_Gope_2024_JJLL
,,,í tsālɛ̄ hīhī zɔ̄-lɛ̄,I composed this song.,Tetseo_Gope_2024_JJLL
,,,tsə̀tsə̀ kʰàɾı̋-tɛ̄,Give me that.,Tetseo_Gope_2024_JJLL
,,,āzā lűhī-lɛ̄,That is mine.,Tetseo_Gope_2024_JJLL
,,,í sə̄sə̄ pɔ́ɔ́-lɛ̄,I am talking about that.,Tetseo_Gope_2024_JJLL
,,,"lɘ̄ɘ́-hɔ̄, ɛ̄lɛ̌-lɛ̌ tra̋à-tɛ̄","It is hot, drink slowly.",Tetseo_Gope_2024_JJLL
,,,"ú-kɔ̄ mɛ̄ɲú-tɔ̌-tɛ́, tà mɛ̄tsɔ̄-tsɔ̄-tɛ̄","We are going to be late, walk quickly.",Tetseo_Gope_2024_JJLL
,,,àwű! í-rí n̩̄-bī-n̩̄ sā-lɛ̄,Awu! I also want to be like you.,Tetseo_Gope_2024_JJLL
,,,a̋kʰɘ̋! í-rí tʰrı̋-zɛ̀ɛ̄ vɛ̋-tɔ̀-zə̋,Akhü! It would have been good if I bought as well.,Tetseo_Gope_2024_JJLL
,,,ʧə̋! pʰī mɛ̄rɔ́-lɛ̄,Chö! Disgusting.,Tetseo_Gope_2024_JJLL
,,,ālā! mì və̋-hì tɛ̄,Ala! Don't beat others.,Tetseo_Gope_2024_JJLL
,,,hīhɛ̀ī! vāpɘ̀ hī-ʧɛ́-hī pʰɛ̌rı̋-nɔ̀,Hihey! Come here once.,Tetseo_Gope_2024_JJLL
,,,ījɛ̄ ā-pɔ̄-nɔ̄ sə̄-bīí pɔ́-vá,"Yes, my father is saying like that.",Tetseo_Gope_2024_JJLL
,,,hm̋! í sə̄sə̄ mɘ̄lɘ̄-ʧɛ̀-mɔ̀,I don't believe that at all.,Tetseo_Gope_2024_JJLL
,,,ɲàā! sɘ̄ɾ̥ɔ̌ mɛ̄ mà?,Are you well? How are you?,Tetseo_Gope_2024_JJLL
,,,wɛ̄hɔ̀ɔ̄! dı̋pɘ̀bí sə̄-bītá,How did it happen like that?,Tetseo_Gope_2024_JJLL
,,,āʃə̀ sə̄-bī-mɔ̀-zɛ̀ɛ̄ vɛ̋-tɔ̀-zə̋,It would have been good if it was not like that.,Tetseo_Gope_2024_JJLL
,,,í tɛ̄fɘ̄-sɛ̋ lɛ̄ ʧə̄pʰɔ̀-sɛ̋-ní tì ā-ɲɘ́,I like eating bananas and apples.,Tetseo_Gope_2024_JJLL
,,,í ā-m̥ʰɔ́ ma̋ vɛ̄lɛ̄ ā-sá-lű-mɔ̀-tɛ́,"I dreamt, but I don't remember.",Tetseo_Gope_2024_JJLL
,,,í tʰɛ̄rí vɛ̄lɛ̄ dʒə́ tɾa̋-mɔ̀-tɛ́,"I was thirsty, but I did not drink water.",Tetseo_Gope_2024_JJLL
,,,nɔ́ tɛ̄fɘ̄-sɛ̋ n̩̄-ɲɘ́-və̄ mɛ̄ ʧə̄pʰɔ̀-sɛ̋,Do you like bananas or apples more?,Tetseo_Gope_2024_JJLL
,,,nɔ́ hīhī mɛ̄ hī-jɔ̄-hī pɘ̄-tɔ̀,Will you take this or this?,Tetseo_Gope_2024_JJLL
,,,ʧǎ mɔ̀zɛ̀sə̄ dʒə́ tɾa̋-tɔ̀ mɛ̄?,"If not tea, will you drink water?",Tetseo_Gope_2024_JJLL
,,,í hīhī mɔ̀zɛ̀sə̄ ɛ̄tɾɛ̌ pɘ̀-hɔ̀,"If not this, I will not take other.",Tetseo_Gope_2024_JJLL
,,,lɛ̄sı̋ pʰɾì-zɛ̀ɛ̄ pāssə̀-jɔ̄,You pass if you study.,Tetseo_Gope_2024_JJLL
,,,hīhī tì-mɔ̀-zɛ̀ɛ̄ mà-hɔ̀,You will not grow if you don't eat this.,Tetseo_Gope_2024_JJLL
,,,dʒə́ tɾa̋á-rí thɛ̄rí lǎ-mɔ̀-tɛ́,"Although I am drinking water, it is not quenching my thirst.",Tetseo_Gope_2024_JJLL
,,,lɛ̄sı̋ pʰɾīí-rí sɛ̋ɛ̀-mɔ̀-tɛ́,"Although I am studying, I have not learned.",Tetseo_Gope_2024_JJLL
,,,í lɛ̄sı̋dà pɘ̀ pʰɾī,I read one book.,Tetseo_Gope_2024_JJLL
,,,í lɛ̄sı̋dà ɛ̄nā pʰɾī,I read two books.,Tetseo_Gope_2024_JJLL
,,,í lɛ̄sı̋dà ɛ̄tɾɔ̌ pʰɾī,I read many books.,Tetseo_Gope_2024_JJLL
,,,í tì-mɔ̀-lɛ̄,I did not eat.,Tetseo_Gope_2024_JJLL
,,,hīhī hűvɛ̋-mɔ̀-lɛ̄,This is not beautiful.,Tetseo_Gope_2024_JJLL
,,,hīhī tì-hì-tɛ̄,Don't eat this.,Tetseo_Gope_2024_JJLL
,,,tsə̀-ʧɛ́ pʰɛ̌-hì-tɛ̄,Don't go there.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-hɔ̀,I will not eat food.,Tetseo_Gope_2024_JJLL
,,,í sɘ̄dɔ̄ lɛ̄sı̋ʧɛ́-lɘ̄ vɔ́-hɔ̀-tɛ́,I will not go to school tomorrow.,Tetseo_Gope_2024_JJLL
,,,ātɔ̀ vɔ́rí-mù-lɛ̄,Ato refused to come.,Tetseo_Gope_2024_JJLL
,,,ā-ʃə́ lɘ̄vā tì-mù-tɛ́-lɛ̄,My dog refused to eat.,Tetseo_Gope_2024_JJLL
,,,ā-zā tɛ̄ʃə́ pə̀ bá,I have a dog.,Tetseo_Gope_2024_JJLL
,,,ātɔ̀ kɘ̄hūʧɛ́-lɘ̄ bá-mɔ̀-lɛ̄,Ato is not in the church.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-tɔ̀,I will eat food.,Tetseo_Gope_2024_JJLL
,,,í sɘ̄dɔ̄ dʒə́və̋-tɔ̀,I will swim tomorrow.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-tɔ̌-tɛ́,I am about to eat food.,Tetseo_Gope_2024_JJLL
,,,í dʒə́və̋-tɔ̌-zə́-lɛ̄,I am about to swim.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì,I eat food.,Tetseo_Gope_2024_JJLL
,,,í n̩̄dɔ̄ dʒə́və̋,I swam yesterday.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-vá,I am eating food.,Tetseo_Gope_2024_JJLL
,,,í dʒə́və̋-vá,I am swimming.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tìí-lù,I am still eating food.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-bɔ́-jì-tɛ́,I have started eating.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-zɔ̄-vá,I kept eating.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-vɛ̋,I have eaten food.,Tetseo_Gope_2024_JJLL
,,,í dʒə́və̋-vɛ́,I have swum.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tìì-tɛ́,I have eaten food.,Tetseo_Gope_2024_JJLL
,,,í dʒə́və̋ə̀-tɛ́,I had swum.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tìí-tɔ̌-zə́-lɛ̄,I am about to eat food.,Tetseo_Gope_2024_JJLL
,,,í lɘ̄vā tì-jɔ̄,I eat food habitually.,Tetseo_Gope_2024_JJLL
,,,í dʒə́və̋-jɔ̄,I swim habitually.,Tetseo_Gope_2024_JJLL
,,,tʰə̄mà kə̄vɛ̋-kɔ̄ tə́-lə̄ vɔ́-jɔ̄,Good people go to heaven.,Tetseo_Gope_2024_JJLL
,,,ɡá tì-zə̋ ú-lá vɛ̋-jɔ̄,Eating vegetables is good for us.,Tetseo_Gope_2024_JJLL
,,,í pāssə̀-kɘ̄jì lá ā-pɔ̄ hīhī tʰɾı̋ khàɾı̋,My father bought me this because I passed my exam.,Tetseo_Gope_2024_JJLL
,,,ʧɛ̄kʰa̋ kʰa̋-tɛ̄,Close the door.,Tetseo_Gope_2024_JJLL
,,,tsə̀-ʧɛ́ pʰɛ̌-hì-tɛ̄,Do not go there.,Tetseo_Gope_2024_JJLL
,,,"nɔ́ pāssə̀-zɛ̀, í hīhī kʰàrı̋-tɔ̀","If you pass, I will give you this.",Tetseo_Gope_2024_JJLL
,,,"nɔ́ pʰɛ̌rı̋-mɔ̀-zɛ̀, í hīhī kʰàrı̋-hɔ̀","If you don't come, I will not give you this.",Tetseo_Gope_2024_JJLL
,,,nɔ́ lɘ̄vā tì-zɛ̀ mà-sa̋-tɔ̀-zə̋,"If you eat food, you would grow more.",Tetseo_Gope_2024_JJLL
,,,í m̥ʰānɛ́-zɛ̀ tɛ̄dʒə̌ mɘ̄tɘ́ ɹə̄vɘ́-tɔ̀-zə̋,"If I was rich, I would travel the whole world.",Tetseo_Gope_2024_JJLL
,,,í sɘ̄dɔ̄ kɘ̄hūʧɛ́-lɘ̄ vɔ́-tɔ̌-lɛ̄,I will go to church tomorrow.,Tetseo_Gope_2024_JJLL
,,,ātɔ̀ hīhī tʰı̋-mɔ̀-tʰɔ̄,Ato might not have done this.,Tetseo_Gope_2024_JJLL
,,,ū ā ŋɔ̋-tʰɔ̄,He might have seen me.,Tetseo_Gope_2024_JJLL
,,,"í tʰɛ̄rí-ɾí, dʒə́ tɾa̋-mɔ̀-tɛ́","Although I am thirsty, I didn't drink water.",Tetseo_Gope_2024_JJLL
,,,m̥ʰa̠tʰɔ̀ ɾɘ̀-vá-ɾí í tʰı̋ tsɔ̄ɔ̀-tɛ́,"Even though the work was difficult, I completed it.",Tetseo_Gope_2024_JJLL
,,,í hīhī tì-n̩sā-mɔ̀-lɛ̄,I don't want to eat this.,Tetseo_Gope_2024_JJLL
,,,í tsālɛ̄ sə̄sə̄ ɾə̄ɲǐ-n̩sā-vá,I want to listen to that song.,Tetseo_Gope_2024_JJLL
,,,ātɔ̀ tɾà-vá,Ato is crying.,Tetseo_Gope_2024_JJLL
,,,ātɔ̀ ā-və̋,Ato beat me.,Tetseo_Gope_2024_JJLL
,,,í ātɔ̀ ŋɔ̋,I saw Ato.,Tetseo_Gope_2024_JJLL
